ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
82;DAS AMERICAS;0;SANTA TERESA;2024;20/02/2024;23:30:00;SAO LEOPOLDO;DAS AMERICAS, 0, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.793393,-51.127387;;;;;;;;;;;;;;
83;PRESIDENTE LUCENA;2797;SCHARLAU;2024;21/02/2024;19:30:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 2797, SCHARLAU, SAO LEOPOLDO;VEICULO;quarta-feira;-29.716628,-51.157828;;;;;;;;;;;;;;
84;REGINA MUNDI;525;CRISTO REI;2024;21/02/2024;12:30:00;SAO LEOPOLDO;REGINA MUNDI, 525, CRISTO REI, SAO LEOPOLDO;VEICULO;quarta-feira;-29.784148,-51.149065;;;;;;;;;;;;;;
85;JOAO CORREA;657;SAO JOSE;2024;22/02/2024;08:30:00;SAO LEOPOLDO;JOAO CORREA, 657, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.769432575057543, -51.14153112527458;;;;;;;;;;;;;;
86;CONCEICAO;1276;CENTRO;2024;22/02/2024;13:30:00;SAO LEOPOLDO;CONCEICAO, 1276, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.768439,-51.153020;;;;;;;;;;;;;;
87;CAXIAS DO SUL;17;RIO DOS SINOS;2024;23/02/2024;16:00:00;SAO LEOPOLDO;CAXIAS DO SUL, 17, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.759926477333913, -51.14823649223704;;;;;;;;;;;;;;
88;DO QUILOMBO;1365;CAMPESTRE;2024;24/02/2024;01:30:00;SAO LEOPOLDO;DO QUILOMBO, 1365, CAMPESTRE, SAO LEOPOLDO;PEDESTRE;sábado;-29.76803889346554, -51.094496050223555;;;;;;;;;;;;;;
89;SAO CAETANO;616;CENTRO;2024;24/02/2024;21:30:00;SAO LEOPOLDO;SAO CAETANO, 616, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.770249,-51.147926;;;;;;;;;;;;;;
90;FELIPE UEBEL;243;RIO BRANCO;2024;24/02/2024;10:30:00;SAO LEOPOLDO;FELIPE UEBEL, 243, RIO BRANCO, SAO LEOPOLDO;VEICULO;sábado;-29.773721693664, -51.12358473202151;;;;;;;;;;;;;;
91;UNISINOS;405;CRISTO REI;2024;25/02/2024;20:30:00;SAO LEOPOLDO;UNISINOS, 405, CRISTO REI, SAO LEOPOLDO;PEDESTRE;domingo;-29.78928327727495, -51.14589328482747;;;;;;;;;;;;;;
